CODIGO,IVA,DESCRIPCION,PUBLICO,RESTO,S/RED,PUBLICO US,GANANCIA,FECHA ING,COSTO US,US S/IVA,RES
IL-HWORK24L-3AAA,1.21,LINTERNA 24 LED IMAN Y GANCHO Y 3AAA,#REF!,#REF!,#REF!,$ 6.29,30.00,04/12/2020,4.84,$4.00,10
ILRA-UNICORNIO,1.21,LUZ LED RECARGABLE UNICORNIO,#REF!,#REF!,#REF!,$ 18.53,30.00,16/07/2024,14.26,$11.78,100
ILRA-OSITO,1.21,LUZ LED RECARGABLE OSITO,#REF!,#REF!,#REF!,$ 17.18,30.00,18/12/2024,13.22,$10.92,1000
ILRA-GATITO,1.21,LUZ LED RECARGABLE GATITO,#REF!,#REF!,#REF!,$ 17.18,30.00,18/12/2024,13.22,$10.92,10
IL-E.LLAV1COB,1.21,LUZ LED LLAVERO TACTICO,#REF!,#REF!,#REF!,$ 3.72,30.00,02/01/2024,2.86,$2.36,100
ILRA-BALLENA,1.21,LUZ LED RECARGABLE BALLENA,#REF!,#REF!,#REF!,$ 17.03,30.00,18/12/2024,13.10,$10.83,1000
ILRA-DINO,1.21,LUZ LED RECARGABLE DINO,#REF!,#REF!,#REF!,$ 17.03,30.00,18/12/2024,13.10,$10.83,10
ILRA-PINGUINO,1.21,LUZ LED RECARGABLE PINGUINO,#REF!,#REF!,#REF!,$ 17.03,30.00,18/12/2024,13.10,$10.83,1000
IL-VEL.DL009-B,1.21,LUZ LED 3W BLANCA PROBATTERY,#REF!,#REF!,#REF!,$ 8.64,30.00,18/12/2024,6.64,$5.49,1000
PNAK-23A-BBB,1.21,PILA ALCALINA VINNIC 23A,#REF!,#REF!,#REF!,$ 0.71,30.00,02/01/2024,0.55,$0.45,10
PNAK-27A-BBB,1.21,PILA ALCALINA VINNIC 27A,#REF!,#REF!,#REF!,$ 0.71,30.00,02/01/2024,0.55,$0.45,10
PNLB-1632-BMX,1.21,PILA LITIO 1632 3V MAXELL,#REF!,#REF!,#REF!,$ 2.18,30.00,02/01/2024,1.68,$1.39,10
PNLB-2330-BPN,1.21,PILA LITIO 2330 3V PANASONIC,#REF!,#REF!,#REF!,$ 3.10,30.00,02/01/2024,2.39,$1.97,100
PNLB-2450-BPN,1.21,PILA LITIO 2450 3V PANASONIC,#REF!,#REF!,#REF!,$ 2.38,30.00,02/01/2024,1.83,$1.51,10
FRLI-1C110SD-CP1,1.21,CARGADOR 1 PILA LITIO C/CORTE,#REF!,#REF!,#REF!,$ 6.27,30.00,18/06/2020,4.82,$3.98,10
FR-422-CP1,1.21,CARGADOR 4 PILAS STANDARD,#REF!,#REF!,#REF!,$ 9.41,30.00,02/01/2024,7.24,$5.98,10
MC-1903420K11-K,1.21,"FUENTE NOTEBOOK 19V 3,42A",#REF!,#REF!,#REF!,$ 18.88,30.00,14/06/2021,14.52,$12.00,10
MC-1902370K5-K,1.21,"FUENTE NETBOOK 19V 2,37A",#REF!,#REF!,#REF!,$ 17.64,30.00,26/02/2021,13.57,$11.22,1000
MC-1902100K14-K,1.21,"FUENTE NOTE 19V 2,1A 40W ACER",#REF!,#REF!,#REF!,$ 21.86,30.00,14/06/2021,16.81,$13.90,100
MC-1952310A10-A,1.21,"FUENTE NOTE 19,5V 2,31A 45W HP",#REF!,#REF!,#REF!,$ 15.39,30.00,20/05/2024,11.84,$9.78,10
MC-2003250A19-A,1.21,"FUENTE NOTE 20V  3,25A 65W PLUG C LENOVO",#REF!,#REF!,#REF!,$ 31.77,30.00,16/07/2024,24.44,$20.20,10
BSLA-1270-CPB,1.21,BATERIA ELECT ABS 12V 7A,#REF!,#REF!,#REF!,$ 21.09,30.00,18/12/2024,16.22,$13.40,10
KCTB-30PIN.B-SPB,1.21,CABLE USB PARA IPAD 30 PINES,#REF!,#REF!,#REF!,$ 2.35,30.00,19/09/2024,1.81,$1.50,10
KCTB-MINI-SPB,1.21,"CABLE USB MINI USB 1,5 MTS",#REF!,#REF!,#REF!,$ 2.11,30.00,19/09/2024,1.63,$1.34,10
PPNC-700AA3B-BPB,1.21,BAT TELEF INAL 3XAA 700 MAH PB,#REF!,#REF!,#REF!,$ 6.20,30.00,20/05/2024,4.77,$3.94,10
PPNH-KXA31-BPB,1.21,"BAT TELEF INAL 2,4V 2 X 4/3AAA 830 MAH PB",#REF!,#REF!,#REF!,$ 7.53,30.00,20/05/2024,5.79,$4.79,100
PPNH-KXA35-BPB,1.21,"PACK KXA35 3,6V 650MAH",#REF!,#REF!,#REF!,$ 6.62,30.00,20/10/2020,5.09,$4.21,10
PRNH-AAF1500-SPB,1.21,PILA NIMH 1500 MAH FLAT SUELTA,#REF!,#REF!,#REF!,$ 2.88,30.00,08/11/2023,2.21,$1.83,10
PRNH-AAF1200-SPB,1.21,PILA NIMH AA 1200 PB,#REF!,#REF!,#REF!,$ 1.66,30.00,18/12/2024,1.28,$1.05,10
PRNH-AAAF600-SBB,1.21,PILA NIMH AAA 600 MAH S/TETON S/M,#REF!,#REF!,#REF!,$ 1.39,30.00,08/11/2023,1.07,$0.88,10
PNLI-14250S-SPB,1.21,"PILA LITIO 1/2AA 3,6V 1,2A",#REF!,#REF!,#REF!,$ 2.93,30.00,19/09/2024,2.25,$1.86,10
PNLI-14505/P-SPB,1.21,"PILA LITIO AA 3,6V 2400MAH PB C/PINES",#REF!,#REF!,#REF!,$ 7.00,30.00,20/05/2024,5.38,$4.45,10
PNLI-14250/P-SPB,1.21,PILA LITIO 14250 C/PIN PROBATTERY,#REF!,#REF!,#REF!,$ 4.35,30.00,18/12/2024,3.34,$2.76,10
PRLI-1865025-SSG,1.21,PILA LITIO 18650 2500MAH SAMSUNG,#REF!,#REF!,#REF!,$ 10.60,30.00,16/07/2024,8.15,$6.74,10
PRLI-1865026-SSG,1.21,PILA LITIO 18650 2600MAH SAMSUNG,#REF!,#REF!,#REF!,$ 10.90,30.00,02/01/2024,8.38,$6.93,10
PRLI-1865026T-BA,1.21,PILA LITIO 18650 2600MAH C/TETON,#REF!,#REF!,#REF!,$ 8.20,30.00,08/11/2023,6.31,$5.22,10